2024-06-24 13:34:50,318 INFO    StreamThr :23396 [internal.py:wandb_internal():85] W&B internal server running at pid: 23396, started at: 2024-06-24 13:34:50.318651
2024-06-24 13:34:50,321 DEBUG   HandlerThread:23396 [handler.py:handle_request():158] handle_request: status
2024-06-24 13:34:50,323 INFO    WriterThread:23396 [datastore.py:open_for_write():87] open: D:\DL_Lab24\Project\DeeplabV3_Cityscapes\wandb\run-20240624_133450-mtaa1c1d\run-mtaa1c1d.wandb
2024-06-24 13:34:50,323 DEBUG   SenderThread:23396 [sender.py:send():379] send: header
2024-06-24 13:34:50,341 DEBUG   SenderThread:23396 [sender.py:send():379] send: run
2024-06-24 13:34:50,954 INFO    SenderThread:23396 [dir_watcher.py:__init__():211] watching files in: D:\DL_Lab24\Project\DeeplabV3_Cityscapes\wandb\run-20240624_133450-mtaa1c1d\files
2024-06-24 13:34:50,954 INFO    SenderThread:23396 [sender.py:_start_run_threads():1188] run started: mtaa1c1d with start time 1719228890.320701
2024-06-24 13:34:50,970 DEBUG   HandlerThread:23396 [handler.py:handle_request():158] handle_request: check_version
2024-06-24 13:34:50,970 DEBUG   SenderThread:23396 [sender.py:send_request():406] send_request: check_version
2024-06-24 13:34:51,282 DEBUG   HandlerThread:23396 [handler.py:handle_request():158] handle_request: run_start
2024-06-24 13:34:51,298 DEBUG   HandlerThread:23396 [system_info.py:__init__():26] System info init
2024-06-24 13:34:51,298 DEBUG   HandlerThread:23396 [system_info.py:__init__():41] System info init done
2024-06-24 13:34:51,298 INFO    HandlerThread:23396 [system_monitor.py:start():194] Starting system monitor
2024-06-24 13:34:51,313 INFO    SystemMonitor:23396 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-24 13:34:51,313 INFO    HandlerThread:23396 [system_monitor.py:probe():214] Collecting system info
2024-06-24 13:34:51,313 INFO    SystemMonitor:23396 [interfaces.py:start():188] Started cpu monitoring
2024-06-24 13:34:51,313 INFO    SystemMonitor:23396 [interfaces.py:start():188] Started disk monitoring
2024-06-24 13:34:51,313 INFO    SystemMonitor:23396 [interfaces.py:start():188] Started gpu monitoring
2024-06-24 13:34:51,313 INFO    SystemMonitor:23396 [interfaces.py:start():188] Started memory monitoring
2024-06-24 13:34:51,329 INFO    SystemMonitor:23396 [interfaces.py:start():188] Started network monitoring
2024-06-24 13:34:51,329 DEBUG   HandlerThread:23396 [system_info.py:probe():152] Probing system
2024-06-24 13:34:51,329 DEBUG   HandlerThread:23396 [system_info.py:_probe_git():137] Probing git
2024-06-24 13:34:51,392 DEBUG   HandlerThread:23396 [system_info.py:_probe_git():145] Probing git done
2024-06-24 13:34:51,392 DEBUG   HandlerThread:23396 [system_info.py:probe():200] Probing system done
